Designator,Mid X,Mid Y,Rotation,Layer
C1,56.0,37.5,90.0,top
C10,66.5,9.2,90.0,top
C11,70.75,22.3,270.0,top
C12,78.55,18.0,180.0,top
C13,86.05,39.75,180.0,top
C14,85.75,4.25,90.0,top
C2,14.25,34.0,0.0,top
C20,72.84,39.7,270.0,top
C21,76.75,39.0,180.0,top
C3,4.75,34.0,180.0,top
C4,60.5,38.0,0.0,top
C5,50.67,34.75,0.0,top
C6,51.0,42.59,90.0,top
C7,48.0,42.59,90.0,top
C8,78.55,19.75,180.0,top
C9,74.0,7.75,0.0,top
CN1,8.0,21.25,270.0,top
CN2,8.0,11.75,270.0,top
CN3,25.5,8.0,0.0,top
CN4,35.0,8.0,0.0,top
CN5,44.5,8.0,0.0,top
CN6,54.0,8.0,0.0,top
CN7,7.6,42.5,270.0,top
D1,21.25,39.75,0.0,top
D10,9.0,3.0,180.0,top
D11,23.75,22.25,270.0,top
D12,22.5,19.25,180.0,top
D13,27.3764,22.1857,270.0,top
D14,28.5,19.25,0.0,top
D15,33.25,22.5,270.0,top
D16,32.0872,19.25,180.0,top
D17,57.0,24.75,180.0,top
D18,58.5,18.5,0.0,top
D19,36.75,22.5,270.0,top
D2,40.75,30.75,0.0,top
D20,38.0,19.0,0.0,top
D21,42.75,22.33,270.0,top
D22,41.58,19.0,180.0,top
D23,46.25,22.33,270.0,top
D24,47.5,19.0,0.0,top
D25,30.5,28.0,90.0,top
D26,33.25,28.75,0.0,top
D27,52.0,22.25,270.0,top
D28,51.0,19.0,180.0,top
D3,20.0,25.0,180.0,top
D4,17.0,26.0,90.0,top
D5,20.25,21.0,180.0,top
D6,19.0,18.25,270.0,top
D7,17.25,10.5,90.0,top
D8,18.75,13.25,90.0,top
D9,13.0,3.0,180.0,top
J1,32.5,52.5,270.0,bottom
J19,79.96,54.25,270.0,top
J2,88.755,23.25,180.0,top
J20,74.54,29.25,90.0,top
J21,60.25,11.21,0.0,top
J3,90.0,36.0,0.0,top
L1,23.8728,45.25,0.0,top
L2,30.75,37.75,90.0,top
LED1,83.05,13.75,180.0,top
LED2,70.5,53.1,270.0,top
LED3,67.75,53.1,270.0,top
LED4,83.0,16.25,180.0,top
LED5,77.5,49.7,270.0,top
LED6,80.0,49.75,270.0,top
R1,84.0,21.5,0.0,top
R10,33.25,16.5,90.0,top
R16,55.75,16.75,270.0,top
R17,55.75,22.25,270.0,top
R18,36.75,16.5,90.0,top
R19,42.75,16.5,90.0,top
R2,74.75,4.25,90.0,top
R20,46.25,16.5,90.0,top
R21,69.0,22.35,90.0,top
R22,33.25,30.75,0.0,top
R23,29.75,30.75,0.0,top
R24,70.5,48.75,90.0,top
R25,64.75,12.0,180.0,top
R26,64.75,13.5,180.0,top
R27,52.0,16.5,90.0,top
R28,67.75,48.75,90.0,top
R29,79.25,14.0,0.0,top
R3,84.0,23.0,0.0,top
R30,79.25,16.0,0.0,top
R31,80.0,46.0,270.0,top
R32,77.5,46.0,270.0,top
R33,74.34,33.75,0.0,top
R4,16.25,23.0,0.0,top
R5,16.5,19.5,0.0,top
R6,15.75,12.75,270.0,top
R7,10.25,5.75,270.0,top
R8,23.75,16.5,90.0,top
R9,27.25,16.5,90.0,top
SW1,80.5,5.25,180.0,top
TP17,20.75,34.0,0.0,top
TP18,58.0,21.5,0.0,top
TP3,48.0,29.25,0.0,top
TP4,62.0,34.25,0.0,top
TP6,18.775,28.975,0.0,top
U1,59.0,43.25,0.0,top
U2,39.7573,39.6648,270.0,top
U3,72.0,14.25,90.0,top
U6,75.46,36.0,0.0,top
